Robot Structural Analysis - Active Standard Sections (Filtered for France)
=====================================================================

### DATABASE: RCAT ###
Total sections: 2145

DCIP 150x8           | Weight:  36.35 kg/m
DCIP 40              | Weight:   3.86 kg/m
DCIP 40x4            | Weight:   3.86 kg/m
DCIP 40x5            | Weight:   3.86 kg/m
DCIP 40x6            | Weight:   3.86 kg/m
DCIP 45              | Weight:   4.49 kg/m
DCIP 45x4            | Weight:   4.49 kg/m
DCIP 45x5            | Weight:   4.49 kg/m
DCIP 45x6            | Weight:   4.49 kg/m
DCIP 50              | Weight:   5.93 kg/m
DCIP 50x4            | Weight:   5.93 kg/m
DCIP 50x5            | Weight:   5.93 kg/m
DCIP 50x6            | Weight:   5.93 kg/m
DCIP 50x7            | Weight:   5.93 kg/m
DCIP 50x8            | Weight:   5.93 kg/m
DCIP 60              | Weight:   7.52 kg/m
DCIP 60x4            | Weight:   7.52 kg/m
DCIP 60x5            | Weight:   7.52 kg/m
DCIP 60x6            | Weight:   7.52 kg/m
DCIP 60x7            | Weight:   7.52 kg/m
DCIP 60x8            | Weight:   7.52 kg/m
DCIP 70              | Weight:  10.80 kg/m
DCIP 70x10           | Weight:  10.80 kg/m
DCIP 70x5            | Weight:  10.80 kg/m
DCIP 70x6            | Weight:  10.80 kg/m
DCIP 70x7            | Weight:  10.80 kg/m
DCIP 70x8            | Weight:  10.80 kg/m
DCIP 80              | Weight:  13.58 kg/m
DCIP 80x10           | Weight:  13.58 kg/m
DCIP 80x12           | Weight:  13.58 kg/m
DCIP 80x6            | Weight:  13.58 kg/m
DCIP 80x7            | Weight:  13.58 kg/m
DCIP 80x8            | Weight:  13.58 kg/m
DCIP 90              | Weight:  19.20 kg/m
DCIP 90x10           | Weight:  19.20 kg/m
DCIP 90x12           | Weight:  19.20 kg/m
DCIP 90x7            | Weight:  19.20 kg/m
DCIP 90x8            | Weight:  19.20 kg/m
HEA 100              | Weight:  16.67 kg/m
HEAA 100             | Weight:  12.24 kg/m
HEB 100              | Weight:  20.44 kg/m
HEM 100              | Weight:  41.79 kg/m
HEA 1000             | Weight: 272.27 kg/m
HEAA 1000            | Weight: 221.53 kg/m
HEB 1000             | Weight: 314.04 kg/m
HEM 1000             | Weight: 348.70 kg/m
HEA 1100             | Weight: 293.96 kg/m
HEB 1100             | Weight: 333.65 kg/m
HEM 1100             | Weight: 369.89 kg/m
HER 1100             | Weight: 427.99 kg/m
HEA 120              | Weight:  19.89 kg/m
HEAA 120             | Weight:  14.56 kg/m
HEB 120              | Weight:  26.69 kg/m
HEM 120              | Weight:  52.13 kg/m
HEA 140              | Weight:  24.66 kg/m
HEAA 140             | Weight:  18.07 kg/m
HEB 140              | Weight:  33.72 kg/m
HEM 140              | Weight:  63.24 kg/m
HEA 160              | Weight:  30.44 kg/m
HEAA 160             | Weight:  23.83 kg/m
HEB 160              | Weight:  42.59 kg/m
HEM 160              | Weight:  76.19 kg/m
HEA 180              | Weight:  35.52 kg/m
HEAA 180             | Weight:  28.68 kg/m
HEB 180              | Weight:  51.22 kg/m
HEM 180              | Weight:  88.90 kg/m
HEA 200              | Weight:  42.26 kg/m
HEAA 200             | Weight:  34.64 kg/m
HEB 200              | Weight:  61.29 kg/m
HEM 200              | Weight: 103.06 kg/m
HEA 220              | Weight:  50.51 kg/m
HEAA 220             | Weight:  40.40 kg/m
HEB 220              | Weight:  71.47 kg/m
HEM 220              | Weight: 117.31 kg/m
HEA 240              | Weight:  60.32 kg/m
HEAA 240             | Weight:  47.39 kg/m
HEB 240              | Weight:  83.20 kg/m
HEM 240              | Weight: 156.68 kg/m
HEA 260              | Weight:  68.15 kg/m
HEAA 260             | Weight:  54.14 kg/m
HEB 260              | Weight:  92.98 kg/m
HEM 260              | Weight: 172.42 kg/m
HEA 280              | Weight:  76.35 kg/m
HEAA 280             | Weight:  61.25 kg/m
HEB 280              | Weight: 103.12 kg/m
HEM 280              | Weight: 188.53 kg/m
HEA 300              | Weight:  88.33 kg/m
HEAA 300             | Weight:  69.79 kg/m
HEB 300              | Weight: 117.03 kg/m
HEC 300              | Weight: 176.69 kg/m
HEM 300              | Weight: 237.92 kg/m
HEA 320              | Weight:  97.63 kg/m
HEAA 320             | Weight:  74.24 kg/m
HEB 320              | Weight: 126.65 kg/m
HEM 320              | Weight: 244.96 kg/m
HEA 340              | Weight: 104.78 kg/m
